fecha	gamma	alpha	lambda	subsample	tree_method	grow_policy	max_bin	max_leaves	scale_pos_weight	eta	colsample_bytree	min_child_weight	max_depth	prob_corte	nrounds	ganancia	iteracion
20220617 060256	0	0	0	1	auto	depthwise	256	0	1	0.266559637708826	0.470549122038327	9	2	0.0142567885259131	44	12838000	75
20220617 062430	0	0	0	1	auto	depthwise	256	0	1	0.0100636884746236	0.284942248239726	5	15	0.0146949810978959	300	12985000	76
20220617 062830	0	0	0	1	auto	depthwise	256	0	1	0.0690722602693396	0.999546048978542	5	2	0.014564874649956	152	12839000	77
20220617 071718	0	0	0	1	auto	depthwise	256	0	1	0.0101280300913755	0.567971433134426	4	30	0.0130939978122008	223	12931000	78
20220617 071833	0	0	0	1	auto	depthwise	256	0	1	0.110336890523609	0.200287192219935	10	2	0.0185984480427875	130	13061000	79
20220617 073902	0	0	0	1	auto	depthwise	256	0	1	0.0106279507141652	0.323902499529726	4	30	0.00835794035916563	34	12531000	80
20220617 074905	0	0	0	1	auto	depthwise	256	0	1	0.0100871782484293	0.357858784641502	9	2	0.0302343160948974	945	11578000	81
20220617 075605	0	0	0	1	auto	depthwise	256	0	1	0.0223137679691688	0.402008180116841	8	2	0.0191609015366809	706	13431000	82
20220617 084810	0	0	0	1	auto	depthwise	256	0	1	0.010014632503961	0.931016325649672	9	16	0.0140715184697888	272	13318000	83
20220617 084940	0	0	0	1	auto	depthwise	256	0	1	0.296389670360745	0.565264780382463	8	2	0.0152679561435631	82	12984000	84
20220617 085158	0	0	0	1	auto	depthwise	256	0	1	0.152911525286174	0.624246257406167	10	2	0.0156768069438119	154	13186000	85
20220617 092333	0	0	0	1	auto	depthwise	256	0	1	0.0102477147786666	0.40809436870896	8	21	0.013480140334554	348	13322000	86
20220617 092451	0	0	0	1	auto	depthwise	256	0	1	0.267865843557458	0.604484002915828	5	2	0.0150972103897171	50	13089000	87
20220617 092639	0	0	0	1	auto	depthwise	256	0	1	0.202587420746245	0.999902849177106	4	2	0.0102530746684315	49	12144000	88
20220617 092948	0	0	0	1	auto	depthwise	256	0	1	0.124146025781296	0.749994264242222	10	2	0.0185260088705029	195	12576000	89
20220617 093833	0	0	0	1	auto	depthwise	256	0	1	0.0342113611452685	0.902409082006149	10	7	0.014325006410652	38	13036000	90
20220617 094119	0	0	0	1	auto	depthwise	256	0	1	0.110253087770957	0.999260931485818	8	2	0.0151712530887179	91	13100000	91
20220617 094155	0	0	0	1	auto	depthwise	256	0	1	0.299955686715572	0.200629013157881	4	2	0.0165884531931414	42	12573000	92
