fecha	objective	metric	first_metric_only	boost_from_average	feature_pre_filter	verbosity	max_depth	min_gain_to_split	lambda_l1	lambda_l2	max_bin	num_iterations	force_row_wise	seed	learning_rate	feature_fraction	min_data_in_leaf	num_leaves	prob_corte	ganancia	iteracion
20220616 123323	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	73	TRUE	999983	0.0899327777376062	0.299383821502852	7993	397	0.0186422985735163	13249000	49
20220616 123333	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	43	TRUE	999983	0.124403873366564	0.948008652279679	7951	411	0.0161304124925992	13175000	50
20220616 123348	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	55	TRUE	999983	0.124348650194536	0.460211451700088	7432	391	0.0163801864968426	13206000	51
20220616 123358	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	47	TRUE	999983	0.126424777058179	0.99960183746107	7964	1024	0.0167953939275244	13174000	52
20220616 123409	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	44	TRUE	999983	0.119841048502059	0.999734786160781	5945	896	0.0165729539645018	13175000	53
20220616 123422	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	86	TRUE	999983	0.0984912249786058	0.999797593453949	7986	909	0.0231590015486369	12289000	54
20220616 123435	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	24	TRUE	999983	0.211399824498152	0.941652424508762	8000	900	0.0138482491821765	12367000	55
20220616 123452	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	101	TRUE	999983	0.120485073772213	0.24375420989079	6061	1024	0.01632948664635	13420000	56
20220616 123505	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	58	TRUE	999983	0.119716084374607	0.200116538075347	7997	1021	0.0165256024452478	13144000	57
20220616 123519	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	52	TRUE	999983	0.123125659401535	0.593465684444713	5247	1024	0.0156519603021995	13183000	58
20220616 123532	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	58	TRUE	999983	0.124031932015435	0.245469457536223	5785	1024	0.0177217883464813	12974000	59
20220616 123544	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	45	TRUE	999983	0.129341884964524	0.200033648234508	6108	773	0.0159234988385386	13149000	60
